_action_text,_bill,_committees,_date,_status,_time,_type
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Jackson Lee amendment No. 5.",hr5,,2013-01-18,,16:12:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Bentivolio amendment No. 6.",hr5,,2013-01-18,,16:21:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the McMorris Rodgers amendment No. 7.",hr5,,2013-01-18,,16:29:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Reed amendment No. 8.",hr5,,2013-01-18,,16:39:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Benishek amendment No. 9.",hr5,,2013-01-18,,16:47:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Heck (NV) amendment No. 10.",hr5,,2013-01-18,,16:54:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Meehan amendment No. 11.",hr5,,2013-01-18,,16:58:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Meehan amendment No. 11, the Chair put the question on adoption of the amendment and by voice vote, announced that the ayes had prevailed. Mr. George Miller (CA) demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr5,,2013-01-18,,17:08:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Scalise amendment No. 12.",hr5,,2013-01-18,,17:08:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Scalise amendment No. 12, the Chair put the question on adoption of the amendment and by voice vote, announced that the ayes had prevailed. Mr. George Miller (CA) demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr5,,2013-01-18,,17:19:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Moore amendment No. 13.",hr5,,2013-01-18,,17:20:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Bishop (UT) amendment No. 14.",hr5,,2013-01-18,,17:29:00,action
UNANIMOUS CONSENT REQUEST - Mr. George Miller (CA) asked unanimous consent to vacate his request for a recorded vote on the Scalise amendment No. 12 and that the Chair put the question de novo. Agreed to without objection.,hr5,,2013-01-18,,17:38:00,action
"UNFINISHED BUSINESS - The Chair announced that the unfinished business was on adoption of amendments, which had been debated earlier and on which further proceedings had been postponed.",hr5,,2013-01-18,,17:39:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Tonko amendment No. 15.",hr5,,2013-01-18,,18:20:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Brooks (IN) amendment No. 16.",hr5,,2013-01-18,,18:26:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Polis amendment No. 17.",hr5,,2013-01-18,,18:34:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Velazquez amendment No. 18.",hr5,,2013-01-18,,18:43:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Mullin amendment No. 19.",hr5,,2013-01-18,,18:50:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Garrett amendment No. 20.",hr5,,2013-01-18,,18:53:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Broun (GA) amendment No. 21.",hr5,,2013-01-18,,18:55:00,action
Mr. Rokita moved that the Committee rise.,hr5,,2013-01-18,,19:07:00,action
On motion that the Committee rise Agreed to by voice vote.,hr5,,2013-01-18,,19:07:00,action
Committee of the Whole House on the state of the Union rises leaving H.R. 5 as unfinished business.,hr5,,2013-01-18,,19:08:00,action
Considered as unfinished business.,hr5,,2013-01-19,,09:06:00,action
The House resolved into Committee of the Whole House on the state of the Union for further consideration.,hr5,,2013-01-19,,09:15:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Culberson amendment No. 22.",hr5,,2013-01-19,,09:16:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Culberson amendment No. 22, the Chair put the question on adoption of the amendment and by voice vote, announced that the ayes had prevailed. Mr. Tierney demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr5,,2013-01-19,,09:23:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Fitzpatrick amendment No. 23.",hr5,,2013-01-19,,09:24:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Jackson Lee amendment No. 24.",hr5,,2013-01-19,,09:30:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Jackson Lee amendment No. 24, the Chair put the question on adoption of the amendment and by voice vote, announced that the noes had prevailed. Ms. Jackson Lee demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr5,,2013-01-19,,09:37:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Cantor amendment No. 25.",hr5,,2013-01-19,,09:38:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 20 minutes of debate on the George Miller (CA) substitute amendment No. 26.",hr5,,2013-01-19,,09:53:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the George Miller (CA) amendment No. 26, the Chair put the question on adoption of the amendment and by voice vote, announced that the noes had prevailed. Mr. George Miller (CA) demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr5,,2013-01-19,,10:19:00,action
The House rose from the Committee of the Whole House on the state of the Union to report H.R. 5.,hr5,,2013-01-19,,10:56:00,action
The previous question was ordered pursuant to the rule.,hr5,,2013-01-19,,10:56:00,action
The House adopted the amendment in the nature of a substitute as agreed to by the Committee of the Whole House on the state of the Union.,hr5,,2013-01-19,,10:57:00,action
Ms. Kuster moved to recommit with instructions to Education and the Workforce.,hr5,HSED,2013-01-19,,10:58:00,action
"DEBATE - The House proceeded with 10 minutes of debate on the Kuster motion to recommit with instructions pending a reservation of a point of order. The instructions contained in the motion seek to require the bill to be reported back to the House with an amendment to prevent lowering standards for children with disabilities, including autistic children. It establishes safety standards for the use of seclusion and restraint in schools so children are not physically and mentally harmed. It also establishes standards for protecting student athletes from concussions. Lastly, it provides for criminal background checks of school and contractor employees who have contact with children. Subsequently, the reservation of a point of order was withdrawn.",hr5,,2013-01-19,,10:58:00,action
The previous question on the motion to recommit with instructions was ordered without objection.,hr5,,2013-01-19,,11:06:00,action
On motion to recommit with instructions Failed by recorded vote: 196 - 231 (Roll no. 373).,hr5,,2013-01-19,,11:14:00,action
On passage Passed by recorded vote: 221 - 207 (Roll no. 374).,hr5,,2013-01-19,PASS_OVER:HOUSE,11:20:00,vote
Motion to reconsider laid on the table Agreed to without objection.,hr5,,2013-01-19,,11:20:00,action
"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 5.",hr5,,2013-01-19,,11:21:00,action
"Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",hr5,SSHR,2013-01-24,,,referral
Referred to the House Committee on Energy and Commerce.,hr6,HSIF,2014-01-06,INTRODUCED,,referral
Referred to the Subcommittee on Energy and Power.,hr6,,2014-01-07,,,referral
Subcommittee Hearings Held.,hr6,,2014-01-25,,,action
Subcommittee Consideration and Mark-up Session Held.,hr6,,2014-01-08,,,action
Subcommittee Consideration and Mark-up Session Held.,hr6,,2014-01-09,,,action
Forwarded by Subcommittee to Full Committee (Amended) by the Yeas and Nays: 15 - 11 .,hr6,,2014-01-09,,,action
