_bill,_district,_joined_at,_name,_state,_title,_type
s30,0,2017-01-04,"Tillis, Thom",NC,Sen,original cosponsor
s31,0,2017-01-04,"Feinstein, Dianne",CA,Sen,sponsor
s31,0,2017-01-04,"Cantwell, Maria",WA,Sen,original cosponsor
s31,0,2017-01-04,"Harris, Kamala D.",CA,Sen,original cosponsor
s31,0,2017-01-04,"Merkley, Jeff",OR,Sen,original cosponsor
s31,0,2017-01-04,"Murray, Patty",WA,Sen,original cosponsor
s31,0,2017-01-04,"Wyden, Ron",OR,Sen,original cosponsor
s32,0,2017-01-05,"Feinstein, Dianne",CA,Sen,sponsor
s32,0,2017-01-30,"Harris, Kamala D.",CA,Sen,cosponsor
s33,0,2017-01-05,"Murkowski, Lisa",AK,Sen,sponsor
s33,0,2017-01-05,"Barrasso, John",WY,Sen,original cosponsor
s33,0,2017-01-05,"Blunt, Roy",MO,Sen,original cosponsor
s33,0,2017-01-05,"Capito, Shelley Moore",WV,Sen,original cosponsor
s33,0,2017-01-05,"Cassidy, Bill",LA,Sen,original cosponsor
s33,0,2017-01-05,"Cochran, Thad",MS,Sen,original cosponsor
s33,0,2017-01-05,"Crapo, Mike",ID,Sen,original cosponsor
s33,0,2017-01-05,"Cruz, Ted",TX,Sen,original cosponsor
s33,0,2017-01-05,"Daines, Steve",MT,Sen,original cosponsor
s33,0,2017-01-30,"Fischer, Deb",NE,Sen,cosponsor
s33,0,2017-01-05,"Flake, Jeff",AZ,Sen,original cosponsor
s33,0,2017-01-05,"Grassley, Chuck",IA,Sen,original cosponsor
s33,0,2017-01-05,"Hatch, Orrin G.",UT,Sen,original cosponsor
s33,0,2017-01-05,"Heller, Dean",NV,Sen,original cosponsor
s33,0,2017-01-05,"Inhofe, James M.",OK,Sen,original cosponsor
s33,0,2017-01-05,"Johnson, Ron",WI,Sen,original cosponsor
s33,0,2017-01-23,"Lankford, James",OK,Sen,cosponsor
s33,0,2017-01-05,"Lee, Mike",UT,Sen,original cosponsor
s33,0,2017-01-05,"McCain, John",AZ,Sen,original cosponsor
s33,0,2017-01-05,"McConnell, Mitch",KY,Sen,original cosponsor
s33,0,2017-01-05,"Risch, James E.",ID,Sen,original cosponsor
s33,0,2017-01-05,"Roberts, Pat",KS,Sen,original cosponsor
s33,0,2017-01-05,"Rounds, Mike",SD,Sen,original cosponsor
s33,0,2017-01-05,"Rubio, Marco",FL,Sen,original cosponsor
s33,0,2017-01-05,"Sessions, Jeff",AL,Sen,original cosponsor
s33,0,2017-01-05,"Sullivan, Dan",AK,Sen,original cosponsor
s33,0,2017-01-05,"Tillis, Thom",NC,Sen,original cosponsor
s33,0,2017-01-05,"Wicker, Roger F.",MS,Sen,original cosponsor
s34,0,2017-01-05,"Johnson, Ron",WI,Sen,sponsor
s34,0,2017-03-15,"Blunt, Roy",MO,Sen,cosponsor
s34,0,2017-03-14,"Daines, Steve",MT,Sen,cosponsor
s34,0,2017-03-13,"Enzi, Michael B.",WY,Sen,cosponsor
s34,0,2017-03-13,"Paul, Rand",KY,Sen,cosponsor
s34,0,2017-03-13,"Rubio, Marco",FL,Sen,cosponsor
s34,0,2017-06-20,"Strange, Luther",AL,Sen,cosponsor
s35,0,2017-01-05,"Thune, John",SD,Sen,sponsor
s35,0,2017-01-05,"Enzi, Michael B.",WY,Sen,original cosponsor
s35,0,2017-01-05,"Rounds, Mike",SD,Sen,original cosponsor
s36,0,2017-01-05,"Inhofe, James M.",OK,Sen,sponsor
s36,0,2017-01-05,"Boozman, John",AR,Sen,original cosponsor
s36,0,2017-01-05,"Cotton, Tom",AR,Sen,original cosponsor
s36,0,2017-01-05,"Cruz, Ted",TX,Sen,original cosponsor
s36,0,2017-01-05,"Grassley, Chuck",IA,Sen,original cosponsor
s36,0,2017-01-10,"Perdue, David",GA,Sen,cosponsor
s37,0,2017-01-05,"Ernst, Joni",IA,Sen,sponsor
s37,0,2017-01-05,"Cassidy, Bill",LA,Sen,original cosponsor
s37,0,2017-01-05,"Cotton, Tom",AR,Sen,original cosponsor
s37,0,2017-01-05,"Cruz, Ted",TX,Sen,original cosponsor
s37,0,2017-01-05,"Fischer, Deb",NE,Sen,original cosponsor
s37,0,2017-01-05,"Grassley, Chuck",IA,Sen,original cosponsor
s37,0,2017-01-05,"Inhofe, James M.",OK,Sen,original cosponsor
s37,0,2017-01-05,"Moran, Jerry",KS,Sen,original cosponsor
s37,0,2017-01-05,"Roberts, Pat",KS,Sen,original cosponsor
s37,0,2017-02-16,"Rounds, Mike",SD,Sen,cosponsor
s37,0,2017-01-05,"Sasse, Ben",NE,Sen,original cosponsor
s37,0,2017-06-12,"Strange, Luther",AL,Sen,cosponsor
s37,0,2017-01-05,"Thune, John",SD,Sen,original cosponsor
s37,0,2017-01-05,"Wicker, Roger F.",MS,Sen,original cosponsor
s38,0,2017-01-05,"Rubio, Marco",FL,Sen,sponsor
s39,0,2017-01-05,"Tester, Jon",MT,Sen,sponsor
s39,0,2017-01-05,"Daines, Steve",MT,Sen,original cosponsor
s40,0,2017-01-05,"Heller, Dean",NV,Sen,sponsor
s41,0,2017-01-05,"Klobuchar, Amy",MN,Sen,sponsor
s41,0,2017-01-05,"Baldwin, Tammy",WI,Sen,original cosponsor
s41,0,2017-01-05,"Blumenthal, Richard",CT,Sen,original cosponsor
s41,0,2017-01-20,"Booker, Cory A.",NJ,Sen,cosponsor
s41,0,2017-01-05,"Brown, Sherrod",OH,Sen,original cosponsor
s41,0,2017-06-29,"Cantwell, Maria",WA,Sen,cosponsor
s41,0,2017-01-05,"Franken, Al",MN,Sen,original cosponsor
s41,0,2017-05-15,"Harris, Kamala D.",CA,Sen,cosponsor
s41,0,2017-01-09,"Hassan, Margaret Wood",NH,Sen,cosponsor
s41,0,2017-01-05,"Kaine, Tim",VA,Sen,original cosponsor
s41,0,2017-01-05,"King, Angus S., Jr.",ME,Sen,original cosponsor
s41,0,2017-01-05,"Leahy, Patrick J.",VT,Sen,original cosponsor
s41,0,2017-02-09,"Murphy, Christopher",CT,Sen,cosponsor
s41,0,2017-01-05,"Shaheen, Jeanne",NH,Sen,original cosponsor
s42,0,2017-01-05,"Heller, Dean",NV,Sen,sponsor
s42,0,2017-01-09,"Klobuchar, Amy",MN,Sen,cosponsor
s43,0,2017-01-05,"Heller, Dean",NV,Sen,sponsor
s43,0,2017-01-05,"Heitkamp, Heidi",ND,Sen,original cosponsor
s44,0,2017-01-05,"Heller, Dean",NV,Sen,sponsor
s44,0,2017-05-08,"Murkowski, Lisa",AK,Sen,cosponsor
s45,0,2017-01-05,"Cruz, Ted",TX,Sen,sponsor
s45,0,2017-01-05,"Boozman, John",AR,Sen,original cosponsor
s45,0,2017-01-05,"Cotton, Tom",AR,Sen,original cosponsor
s45,0,2017-12-14,"Crapo, Mike",ID,Sen,cosponsor
s45,0,2017-01-05,"Grassley, Chuck",IA,Sen,original cosponsor
s45,0,2017-07-10,"Heller, Dean",NV,Sen,cosponsor
s45,0,2018-07-23,"Hyde-Smith, Cindy",MS,Sen,cosponsor
s45,0,2017-01-05,"Inhofe, James M.",OK,Sen,original cosponsor
s45,0,2017-01-05,"Johnson, Ron",WI,Sen,original cosponsor
s45,0,2017-01-05,"Perdue, David",GA,Sen,original cosponsor
s45,0,2017-01-09,"Roberts, Pat",KS,Sen,cosponsor
s45,0,2017-06-29,"Rounds, Mike",SD,Sen,cosponsor
s45,0,2017-01-05,"Rubio, Marco",FL,Sen,original cosponsor
s45,0,2017-01-05,"Sasse, Ben",NE,Sen,original cosponsor
s45,0,2017-06-12,"Strange, Luther",AL,Sen,cosponsor
s45,0,2017-01-09,"Toomey, Pat",PA,Sen,cosponsor
s45,0,2017-01-05,"Wicker, Roger F.",MS,Sen,original cosponsor
s46,0,2017-01-05,"Heller, Dean",NV,Sen,sponsor
s46,0,2017-01-05,"Bennet, Michael F.",CO,Sen,original cosponsor
s46,0,2017-01-05,"Blunt, Roy",MO,Sen,original cosponsor
s47,0,2017-01-05,"Rubio, Marco",FL,Sen,sponsor
s47,0,2017-01-05,"Fischer, Deb",NE,Sen,original cosponsor
s47,0,2017-01-17,"Flake, Jeff",AZ,Sen,cosponsor
s47,0,2017-01-05,"Moran, Jerry",KS,Sen,original cosponsor
s47,0,2017-01-24,"Roberts, Pat",KS,Sen,cosponsor
s48,0,2017-01-05,"Heller, Dean",NV,Sen,sponsor
s48,0,2017-01-05,"Klobuchar, Amy",MN,Sen,original cosponsor
s48,0,2017-01-05,"Leahy, Patrick J.",VT,Sen,original cosponsor
