_id,_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
E000288,"Ellison, Keith",MN,5,Rep,MN5,Ellison,Keith.Ellison,Keith Ellison,Democrat,KeithEllison,367692
E000179,"Engel, Eliot L.",NY,16,Rep,NY16,Engel,RepEliotLEngel,Eliot L. Engel,Democrat,RepEliotEngel,22909
E000215,"Eshoo, Anna G.",CA,18,Rep,CA18,Eshoo,RepAnnaEshoo,Anna G. Eshoo,Democrat,RepAnnaEshoo,35110
F000030,"Farr, Sam",CA,20,Rep,CA20,Farr,RepSamFarr,Sam Farr,Democrat,RepSamFarr,-1
F000043,"Fattah, Chaka",PA,2,Rep,PA2,Fattah,repfattah,Chaka Fattah,Democrat,ChakaFattah,11943
F000461,"Flores, Bill",TX,17,Rep,TX17,Flores,RepBillFlores,Bill Flores,Republican,RepBillFlores,17855
F000449,"Fortenberry, Jeff",NE,1,Rep,NE1,Fortenberry,jefffortenberry,Jeff Fortenberry,Republican,JeffFortenberry,18541
F000462,"Frankel, Lois",FL,22,Rep,FL22,Frankel,RepLoisFrankel,Lois Frankel,Democrat,RepLoisFrankel,20311
F000455,"Fudge, Marcia L.",OH,11,Rep,OH11,Fudge,RepMarciaLFudge,Marcia L. Fudge,Democrat,RepMarciaFudge,31228
G000559,"Garamendi, John",CA,3,Rep,CA3,Garamendi,repgaramendi,John Garamendi,Democrat,RepGaramendi,25240
G000563,"Gibbs, Bob",OH,7,Rep,OH7,Gibbs,RepBobGibbs,Bob Gibbs,Republican,RepBobGibbs,31089
G000564,"Gibson, Christopher P.",NY,19,Rep,NY19,Gibson,RepChrisGibson,Christopher P. Gibson,Republican,RepChrisGibson,10875
G000568,"Griffith, H. Morgan",VA,9,Rep,VA9,Griffith,RepMorganGriffith,H. Morgan Griffith,Republican,RepMGriffith,23871
G000570,"Guinta, Frank C.",NH,1,Rep,NH1,Guinta,repfrankguinta,Frank C. Guinta,Republican,RepFrankGuinta,4800
G000535,"Gutierrez, Luis V.",IL,4,Rep,IL4,Gutierrez,RepGutierrez,Luis V. Gutiérrez,Democrat,RepGutierrez,78600
H001063,"Hahn, Janice",CA,44,Rep,CA44,Hahn,RepJaniceHahn,Janice Hahn,Democrat,Rep_JaniceHahn,12
H001051,"Hanna, Richard L.",NY,22,Rep,NY22,Hanna,reprichardhanna,Richard L. Hanna,Republican,RepRichardHanna,12360
H001070,"Hardy, Cresent",NV,4,Rep,NV4,Hardy,RepCresentHardy,Cresent Hardy,Republican,RepHardy,2998
H001045,"Harper, Gregg",MS,3,Rep,MS3,Harper,GreggHarper,Gregg Harper,Republican,GreggHarper,27049
H001052,"Harris, Andy",MD,1,Rep,MD1,Harris,AndyHarrisMD,Andy Harris,Republican,RepAndyHarrisMD,12993
H000324,"Hastings, Alcee L.",FL,20,Rep,FL20,Hastings,95696782238,Alcee L. Hastings,Democrat,RepHastingsFL,19570
H001064,"Heck, Denny",WA,10,Rep,WA10,Heck,CongressmanDennyHeck,Denny Heck,Democrat,RepDennyHeck,21478
H001056,"Herrera Beutler, Jaime",WA,3,Rep,WA3,Herrera Beutler,herrerabeutler,Jaime Herrera Beutler,Republican,HerreraBeutler,17676
H001038,"Higgins, Brian",NY,26,Rep,NY26,Higgins,RepBrianHiggins,Brian Higgins,Democrat,RepBrianHiggins,22654
H000636,"Hinojosa, Ruben",TX,15,Rep,TX15,Hinojosa,CongressmanRubenHinojosa,Rubén Hinojosa,Democrat,USRepRHinojosa,11283
H000874,"Hoyer, Steny H.",MD,5,Rep,MD5,Hoyer,WhipHoyer,Steny H. Hoyer,Democrat,WhipHoyer,103986
H001067,"Hudson, Richard",NC,8,Rep,NC8,Hudson,RepRichHudson,Richard Hudson,Republican,RepRichHudson,14760
H001068,"Huffman, Jared",CA,2,Rep,CA2,Huffman,RepHuffman,Jared Huffman,Democrat,RepHuffman,25234
H001058,"Huizenga, Bill",MI,2,Rep,MI2,Huizenga,RepHuizenga,Bill Huizenga,Republican,RepHuizenga,17546
H001059,"Hultgren, Randy",IL,14,Rep,IL14,Hultgren,RepHultgren,Randy Hultgren,Republican,RepHultgren,18309
I000057,"Israel, Steve",NY,3,Rep,NY3,Israel,RepSteveIsrael,Steve Israel,Democrat,RepSteveIsrael,30632
J000032,"Jackson Lee, Sheila",TX,18,Rep,TX18,Jackson Lee,CongresswomanSheilaJacksonLee,Sheila Jackson Lee,Democrat,JacksonLeeTX18,54141
J000297,"Jenkins, Evan H.",WV,3,Rep,WV3,Jenkins,RepEvanJenkins,Evan H. Jenkins,Republican,RepEvanJenkins,7758
J000292,"Johnson, Bill",OH,6,Rep,OH6,Johnson,RepBillJohnson,Bill Johnson,Republican,RepBillJohnson,31566
J000126,"Johnson, Eddie Bernice",TX,30,Rep,TX30,Johnson,CongresswomanEBJtx30,Eddie Bernice Johnson,Democrat,RepEBJ,30811
J000288,"Johnson, Henry C. ""Hank,"" Jr.",GA,4,Rep,GA4,Johnson,115356957005,"Henry C. ""Hank"" Johnson, Jr.",Democrat,RepHankJohnson,29715
J000295,"Joyce, David P.",OH,14,Rep,OH14,Joyce,RepDaveJoyce,David P. Joyce,Republican,RepDaveJoyce,18875
K000009,"Kaptur, Marcy",OH,9,Rep,OH9,Kaptur,RepresentativeMarcyKaptur,Marcy Kaptur,Democrat,RepMarcyKaptur,16777
K000386,"Katko, John",NY,24,Rep,NY24,Katko,RepJohnKatko,John Katko,Republican,RepJohnKatko,10615
K000375,"Keating, William R.",MA,9,Rep,MA9,Keating,Congressman.Keating,William R. Keating,Democrat,USRepKeating,13358
K000385,"Kelly, Robin L.",IL,2,Rep,IL2,Kelly,reprobinkelly,Robin L. Kelly,Democrat,RepRobinKelly,22276
K000379,"Kennedy, Joseph P., III",MA,4,Rep,MA4,Kennedy,301936109927957,Joseph P. Kennedy III,Democrat,RepJoeKennedy,652817
K000380,"Kildee, Daniel T.",MI,5,Rep,MI5,Kildee,RepDanKildee,Daniel T. Kildee,Democrat,RepDanKildee,32648
K000381,"Kilmer, Derek",WA,6,Rep,WA6,Kilmer,derek.kilmer,Derek Kilmer,Democrat,RepDerekKilmer,23745
K000188,"Kind, Ron",WI,3,Rep,WI3,Kind,repronkind,Ron Kind,Democrat,RepRonKind,12945
K000378,"Kinzinger, Adam",IL,16,Rep,IL16,Kinzinger,RepKinzinger,Adam Kinzinger,Republican,RepKinzinger,38905
K000368,"Kirkpatrick, Ann",AZ,1,Rep,AZ1,Kirkpatrick,RepKirkpatrick,Ann Kirkpatrick,Democrat,RepKirkpatrick,-1
K000387,"Knight, Stephen",CA,25,Rep,CA25,Knight,RepresentativeSteveKnight,Stephen Knight,Republican,SteveKnight25,5528
