_bill,_district,_id,_joined_at,_name,_state,_title,_type
hr6,10,D000613,2015-06-11,"Dold, Robert J.",IL,Rep,cosponsor
hr6,11,D000625,2015-06-18,"Donovan, Daniel M., Jr.",NY,Rep,cosponsor
hr6,14,D000482,2015-05-22,"Doyle, Michael F.",PA,Rep,cosponsor
hr6,8,D000622,2015-06-25,"Duckworth, Tammy",IL,Rep,cosponsor
hr6,4,E000290,2015-06-17,"Edwards, Donna F.",MD,Rep,cosponsor
hr6,5,E000288,2015-06-18,"Ellison, Keith",MN,Rep,cosponsor
hr6,2,E000291,2015-05-22,"Ellmers, Renee L.",NC,Rep,cosponsor
hr6,16,E000179,2015-05-22,"Engel, Eliot L.",NY,Rep,cosponsor
hr6,18,E000215,2015-05-22,"Eshoo, Anna G.",CA,Rep,cosponsor
hr6,20,F000030,2015-06-25,"Farr, Sam",CA,Rep,cosponsor
hr6,2,F000043,2015-05-22,"Fattah, Chaka",PA,Rep,cosponsor
hr6,17,F000461,2015-06-01,"Flores, Bill",TX,Rep,cosponsor
hr6,1,F000449,2015-06-17,"Fortenberry, Jeff",NE,Rep,cosponsor
hr6,22,F000462,2015-06-01,"Frankel, Lois",FL,Rep,cosponsor
hr6,11,F000455,2015-06-18,"Fudge, Marcia L.",OH,Rep,cosponsor
hr6,3,G000559,2015-06-15,"Garamendi, John",CA,Rep,cosponsor
hr6,7,G000563,2015-06-23,"Gibbs, Bob",OH,Rep,cosponsor
hr6,19,G000564,2015-06-01,"Gibson, Christopher P.",NY,Rep,cosponsor
hr6,29,G000410,2015-05-19,"Green, Gene",TX,Rep,original cosponsor
hr6,9,G000568,2015-05-22,"Griffith, H. Morgan",VA,Rep,cosponsor
hr6,1,G000570,2015-06-23,"Guinta, Frank C.",NH,Rep,cosponsor
hr6,2,G000558,2015-05-22,"Guthrie, Brett",KY,Rep,cosponsor
hr6,4,G000535,2015-06-11,"Gutierrez, Luis V.",IL,Rep,cosponsor
hr6,44,H001063,2015-06-24,"Hahn, Janice",CA,Rep,cosponsor
hr6,22,H001051,2015-05-22,"Hanna, Richard L.",NY,Rep,cosponsor
hr6,4,H001070,2015-06-15,"Hardy, Cresent",NV,Rep,cosponsor
hr6,3,H001045,2015-06-02,"Harper, Gregg",MS,Rep,cosponsor
hr6,1,H001052,2015-05-22,"Harris, Andy",MD,Rep,cosponsor
hr6,20,H000324,2015-06-18,"Hastings, Alcee L.",FL,Rep,cosponsor
hr6,10,H001064,2015-06-15,"Heck, Denny",WA,Rep,cosponsor
hr6,3,H001055,2015-06-03,"Heck, Joseph J.",NV,Rep,cosponsor
hr6,3,H001056,2015-06-23,"Herrera Beutler, Jaime",WA,Rep,cosponsor
hr6,26,H001038,2015-06-03,"Higgins, Brian",NY,Rep,cosponsor
hr6,15,H000636,2015-06-17,"Hinojosa, Ruben",TX,Rep,cosponsor
hr6,5,H000874,2015-06-25,"Hoyer, Steny H.",MD,Rep,cosponsor
hr6,8,H001067,2015-06-09,"Hudson, Richard",NC,Rep,cosponsor
hr6,2,H001068,2015-06-03,"Huffman, Jared",CA,Rep,cosponsor
hr6,2,H001058,2015-06-18,"Huizenga, Bill",MI,Rep,cosponsor
hr6,14,H001059,2015-06-09,"Hultgren, Randy",IL,Rep,cosponsor
hr6,50,H001048,2015-06-24,"Hunter, Duncan D.",CA,Rep,cosponsor
hr6,3,I000057,2015-06-09,"Israel, Steve",NY,Rep,cosponsor
hr6,18,J000032,2015-06-23,"Jackson Lee, Sheila",TX,Rep,cosponsor
hr6,3,J000297,2015-06-11,"Jenkins, Evan H.",WV,Rep,cosponsor
hr6,6,J000292,2015-06-01,"Johnson, Bill",OH,Rep,cosponsor
hr6,30,J000126,2015-06-25,"Johnson, Eddie Bernice",TX,Rep,cosponsor
hr6,4,J000288,2015-06-25,"Johnson, Henry C. ""Hank,"" Jr.",GA,Rep,cosponsor
hr6,14,J000295,2015-06-17,"Joyce, David P.",OH,Rep,cosponsor
hr6,9,K000009,2015-06-18,"Kaptur, Marcy",OH,Rep,cosponsor
hr6,24,K000386,2015-06-17,"Katko, John",NY,Rep,cosponsor
hr6,9,K000375,2015-06-25,"Keating, William R.",MA,Rep,cosponsor
hr6,2,K000385,2015-06-18,"Kelly, Robin L.",IL,Rep,cosponsor
hr6,4,K000379,2015-06-01,"Kennedy, Joseph P., III",MA,Rep,cosponsor
hr6,5,K000380,2015-06-03,"Kildee, Daniel T.",MI,Rep,cosponsor
hr6,6,K000381,2015-06-25,"Kilmer, Derek",WA,Rep,cosponsor
hr6,3,K000188,2015-06-25,"Kind, Ron",WI,Rep,cosponsor
hr6,16,K000378,2015-06-02,"Kinzinger, Adam",IL,Rep,cosponsor
hr6,1,K000368,2015-06-09,"Kirkpatrick, Ann",AZ,Rep,cosponsor
hr6,25,K000387,2015-06-23,"Knight, Stephen",CA,Rep,cosponsor
hr6,2,K000382,2015-06-09,"Kuster, Ann M.",NH,Rep,cosponsor
