_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-26_00-39-31,hr,2533,116,PARSED,Providing Financial Assistance for Safe Drinking Water Act,"To assist community water systems affected by PFAS contamination, and for other purposes.",False,False,2019-05-07,Water Resources Development,P000034,Frank Pallone,D,6,6,0,0
2021-02-26_00-39-32,hr,2534,116,PARSED,Insider Trading Prohibition Act,"To amend the Securities Exchange Act of 1934 to prohibit certain securities trading and related communications by those who possess material, nonpublic information.",True,False,2019-05-07,Finance and Financial Sector,H001047,Jim Himes,D,2,2,0,0
2021-02-26_00-39-32,hr,2535,116,PARSED,Family Poverty is Not Child Neglect Act,"To amend the Child Abuse Prevention and Treatment Act to ensure that child protective services systems do not permit the separation of children from parents on the basis of poverty, and for other purposes.",False,False,2019-05-07,Families,M001160,Gwen Moore,D,2,2,0,0
2021-02-26_00-39-33,hr,2536,116,PARSED,"To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010, and for other purposes.","To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010, and for other purposes.",False,False,2019-05-07,Health,F000461,Bill Flores,R,0,0,0,0
2021-02-26_00-39-34,hr,2537,116,PARSED,Deferred Removal for Iraqi Nationals Including Minorities Act of 2019,"To defer removal of certain nationals of Iraq for a 24-month period, and for other purposes.",False,False,2019-05-07,Immigration,L000592,Andy Levin,D,30,22,8,0
2021-02-26_00-39-35,hr,2538,116,PARSED,Child Safety Accounts Act,"To create child safety accounts in the District of Columbia, and for other purposes.",False,False,2019-05-07,Education,B001299,Jim Banks,R,3,0,3,0
2021-02-26_00-39-36,hr,2539,116,PARSED,Strengthening Local Transportation Security Capabilities Act of 2019,"To require the Secretary of Homeland Security to prioritize the assignment of certain officers and intelligence analysts from the Transportation Security Administration and the Office of Intelligence and Analysis of the Department of Homeland Security to locations with participating State, local, and regional fusion centers in jurisdictions with a high-risk surface transportation asset in order to enhance the security of such assets, including by improving timely sharing of classified information regarding terrorist and other threats, and for other purposes.",True,False,2019-05-07,Transportation and Public Works,B001300,Nanette Barragán,D,0,0,0,0
2021-02-26_00-39-36,hr,2540,116,PARSED,Food and Fuel Consumer Protection Act of 2019,"To alleviate the ethanol blend wall under the renewable fuel program, and for other purposes.",False,False,2019-05-07,Environmental Protection,F000461,Bill Flores,R,7,3,4,0
2021-02-26_00-39-40,hr,2541,116,PARSED,BUILD Act,To amend the Internal Revenue Code of 1986 to increase the national limitation amount for qualified highway or surface freight transfer facility bonds.,False,False,2019-05-07,Taxation,B000574,Earl Blumenauer,D,7,4,3,0
2021-02-26_00-39-43,hr,2542,116,PARSED,PLACE Act,"To direct the Secretary of Transportation to make grants for the operation of a clearinghouse to collect, conduct, and fund research on the influences of highly automated vehicles on land use, urban design, transportation, real estate, and municipal budgets, and for other purposes.",False,False,2019-05-07,Transportation and Public Works,B000574,Earl Blumenauer,D,4,4,0,0
2021-02-26_00-39-44,hr,2543,116,PARSED,Stopping Improper Payments to Deceased People Act,"To amend the Improper Payments Elimination and Recovery Improvement Act of 2012, including making changes to the Do Not Pay Initiative, for improved detection, prevention, and recovery of improper payments to deceased individuals, and for other purposes.",False,False,2019-05-07,Social Welfare,B001286,Cheri Bustos,D,18,10,8,0
2021-02-26_00-39-44,hr,2544,116,PARSED,"To amend title 31, United States Code, to clarify that, during a lapse in appropriations beginning on or after October 1, 2020, positions relating to providing services for paying or reimbursing Federal employees for official travel are excepted services","To amend title 31, United States Code, to clarify that, during a lapse in appropriations beginning on or after October 1, 2020, positions relating to providing services for paying or reimbursing Federal employees for official travel are excepted services under the Anti-Deficiency Act, and for other purposes.",False,False,2019-05-07,Government Operations and Politics,C001055,Ed Case,D,0,0,0,0
2021-02-26_00-39-45,hr,2545,116,PARSED,Data Breach Prevention and Compensation Act of 2019,"To create an Office of Cybersecurity at the Federal Trade Commission for supervision of data security at consumer reporting agencies, to require the promulgation of regulations establishing standards for effective cybersecurity at consumer reporting agencies, to impose penalties on credit reporting agencies for cybersecurity breaches that put sensitive consumer data at risk, and for other purposes.",False,False,2019-05-07,Finance and Financial Sector,C000984,Elijah E. Cummings,D,20,20,0,0
2021-02-26_00-39-46,hr,2546,116,PARSED,Protecting America's Wilderness Act,"To designate certain lands in the State of Colorado as components of the National Wilderness Preservation System, and for other purposes.",True,False,2019-05-07,Public Lands and Natural Resources,D000197,Diana DeGette,D,1,1,0,0
2021-02-26_00-39-46,hr,2547,116,PARSED,Protecting American Votes Act,"To amend the Help America Vote Act of 2002 to require States to allow an individual to cure a mismatched signature on a mail-in or provisional ballot, and for other purposes.",False,False,2019-05-07,Government Operations and Politics,D000610,Ted Deutch,D,1,1,0,0
2021-02-26_00-39-49,hr,2548,116,PARSED,Hazard Eligibility and Local Projects Act,"To modify eligibility requirements for certain hazard mitigation assistance programs, and for other purposes.",True,False,2019-05-07,Emergency Management,F000468,Lizzie Fletcher,D,17,12,5,0
2021-02-26_00-39-51,hr,2549,116,PARSED,AI/AN CAPTA,"To amend the Child Abuse Prevention and Treatment Act to require that equitable distribution of assistance include equitable distribution to Indian tribes and tribal organizations and to increase amounts reserved for allotment to Indian tribes and tribal organizations under certain circumstances, and to provide for a Government Accountability Office report on child abuse and neglect in American Indian tribal communities.",False,False,2019-05-07,Native Americans,G000551,Raúl M. Grijalva,D,2,2,0,0
2021-02-26_00-39-52,hr,2550,116,PARSED,Prevent BLEEDing Act of 2019,"To amend the Homeland Security Act of 2002 to authorize the use of Homeland Security Grant Program funds for anti-blood loss purposes, and for other purposes.",False,False,2019-05-07,Emergency Management,H000324,Alcee L. Hastings,D,28,23,5,0
2021-02-26_00-39-53,hr,2551,116,PARSED,Great Lakes Environmental Sensitivity Index Act of 2019,"To require the Under Secretary for Oceans and Atmosphere to update periodically the environmental sensitivity index products of the National Oceanic and Atmospheric Administration for each coastal area of the Great Lakes, and for other purposes.",False,False,2019-05-07,Public Lands and Natural Resources,K000380,Dan Kildee,D,6,3,3,0
2021-02-26_00-39-53,hr,2552,116,PARSED,PLACE Act of 2019,To direct the Secretary of Health and Human Services to prevent certain payment reductions for clinic visit services furnished at excepted off-campus outpatient departments of a provider under the Medicare program.,False,False,2019-05-07,Health,K000381,Derek Kilmer,D,2,1,1,0
2021-02-26_00-39-54,hr,2553,116,PARSED,Postal Service Financial Improvement Act of 2019,"To amend title 5, United States Code, to provide for certain index fund investments from the Postal Service Retiree Health Benefits Fund, and for other purposes.",False,False,2019-05-07,Government Operations and Politics,L000562,Stephen F. Lynch,D,2,1,1,0
2021-02-26_00-39-55,hr,2554,116,PARSED,Know Your Vets Act,To improve the ability of separating or retiring members of the Armed Forces to seek services provided by county veterans service officers.,False,False,2019-05-07,Armed Forces and National Security,M001185,Sean Patrick Maloney,D,6,1,5,0
2021-02-26_00-39-56,hr,2555,116,PARSED,Never Forgotten Korean War POW Act,"To amend the Combat Duty Pay Act of 1952 to require that former members of the uniformed services who were captured or entered a missing-in-action status during the Korean War while serving as a member of a combat unit in Korea receive combat pay for each month spent in a captured or missing-in-action status, rather than just a total of four months.",False,False,2019-05-07,Armed Forces and National Security,M001185,Sean Patrick Maloney,D,4,1,3,0
2021-02-26_00-39-57,hr,2556,116,PARSED,Disabled Veterans Red Tape Reduction Act,To provide for an extension of the authority of the Secretary of Veterans Affairs to provide for the conduct of medical disability examinations by contract physicians.,False,False,2019-05-07,Armed Forces and National Security,M001185,Sean Patrick Maloney,D,0,0,0,0
2021-02-26_00-39-57,hr,2557,116,PARSED,Get Veterans a Doctor Now Act,"To amend title 38, United States Code, to improve the recruitment of physicians in the Department of Veterans Affairs.",False,False,2019-05-07,Armed Forces and National Security,M001185,Sean Patrick Maloney,D,13,8,5,0
2021-02-26_00-39-58,hr,2558,116,PARSED,To define the dollar as a fixed weight of gold.,To define the dollar as a fixed weight of gold.,False,False,2019-05-07,Finance and Financial Sector,M001195,Alex Mooney,R,0,0,0,0
2021-02-26_00-39-58,hr,2559,116,PARSED,Gold Reserve Transparency Act of 2019,"To provide for the first true audit of gold owned by the United States in more than 65 years, and subsequent audits every 5 years.",False,False,2019-05-07,Economics and Public Finance,M001195,Alex Mooney,R,0,0,0,0
2021-02-26_00-39-59,hr,2560,116,PARSED,Putting First Responders First Act,To amend the Internal Revenue Code of 1986 to exclude certain disability-related first responder retirement payments from gross income.,False,False,2019-05-07,Taxation,N000190,Ralph Norman,R,14,7,7,0
2021-02-26_00-39-59,hr,2561,116,PARSED,Brunei Human Rights Act,"To authorize the imposition of sanctions on officials of Brunei responsible for implementing the newly revised penal code, and for other purposes.",False,False,2019-05-07,International Affairs,O000173,Ilhan Omar,D,19,19,0,0
2021-02-26_00-40-00,hr,2562,116,PARSED,Advancing International and Foreign Language Education Act,To reauthorize title VI of the Higher Education Act of 1965.,False,False,2019-05-07,Education,P000523,David E. Price,D,4,4,0,0
2021-02-26_00-40-00,hr,2563,116,PARSED,Beyond the Box for Higher Education Act of 2019,To amend the Higher Education Act of 1965 to direct the Secretary of Education to issue guidance and recommendations for institutions of higher education on removing criminal and juvenile justice questions from their application for admissions process.,False,False,2019-05-07,Education,R000588,Cedric Richmond,D,1,1,0,0
2021-02-26_00-40-01,hr,2564,116,PARSED,Medicare Enrollment Protection Act,"To amend title XVIII of the Social Security Act to provide for a special enrollment period under Medicare for individuals enrolled in COBRA continuation coverage, and for other purposes.",False,False,2019-05-07,Health,S001180,Kurt Schrader,D,13,9,4,0
2021-02-26_00-40-02,hr,2565,116,PARSED,U.S.–China Economic and Security Review Act of 2019,"To implement the recommendations of the U.S.-China Economic and Security Review Commission, and for other purposes.",False,False,2019-05-07,International Affairs,S000344,Brad Sherman,D,8,5,3,0
2021-02-26_00-40-03,hr,2566,116,PARSED,"To require the Administrator of the Environmental Protection Agency to revise the Safer Choice Standard to provide for a Safer Choice label for pots, pans, and cooking utensils that do not contain PFAS, and for other purposes.","To require the Administrator of the Environmental Protection Agency to revise the Safer Choice Standard to provide for a Safer Choice label for pots, pans, and cooking utensils that do not contain PFAS, and for other purposes.",False,False,2019-05-07,Environmental Protection,S001200,Darren Soto,D,2,2,0,0
2021-02-26_00-40-04,hr,2567,116,PARSED,Speak Up to Protect Every Abused Kid Act,"To amend the Child Abuse Prevention and Treatment Act to require mandatory reporting of incidents of child abuse or neglect, and for other purposes.",False,False,2019-05-07,Families,W000826,Susan Wild,D,6,6,0,0
2021-02-26_00-40-04,hr,2568,116,PARSED,Vietnam Veterans Liver Fluke Cancer Study Act,"To direct the Secretary of Veterans Affairs to study and report on the prevalence of cholangiocarcinoma in veterans of the Vietnam era, and for other purposes.",False,False,2019-05-07,Armed Forces and National Security,Z000017,Lee Zeldin,R,17,13,4,0
2021-02-26_00-40-05,hr,2569,116,PARSED,Comprehensive Addiction Resources Emergency Act of 2019,"To provide emergency assistance to States, territories, Tribal nations, and local areas affected by the opioid epidemic and to make financial assistance available to States, territories, Tribal nations, local areas, and public or private nonprofit entities to provide for the development, organization, coordination, and operation of more effective and cost efficient systems for the delivery of essential services to individuals with substance use disorder and their families.",False,False,2019-05-08,Health,C000984,Elijah E. Cummings,D,119,119,0,0
2021-02-26_00-40-16,hr,2570,116,PARSED,PFAS User Fee Act of 2019,"To ensure that polluters pay ongoing water treatment costs associated with contamination from perfluoroalkyl and polyfluoroalkyl substances, and for other purposes.",False,False,2019-05-08,Environmental Protection,R000616,Harley Rouda,D,5,5,0,0
2021-02-26_00-40-17,hr,2571,116,PARSED,National Right-to-Work Act,"To preserve and protect the free choice of individual employees to form, join, or assist labor organizations, or to refrain from such activities.",False,False,2019-05-08,Labor and Employment,W000795,Joe Wilson,R,109,0,109,0
2021-02-26_00-40-22,hr,2572,116,PARSED,"To amend the Federal Deposit Insurance Act to clarify the definition of a deposit broker, and for other purposes.","To amend the Federal Deposit Insurance Act to clarify the definition of a deposit broker, and for other purposes.",False,False,2019-05-08,Finance and Financial Sector,F000454,Bill Foster,D,1,0,1,0
2021-02-26_00-40-23,hr,2573,116,PARSED,Home Health Payment Innovation Act of 2019,To amend title XVIII of the Social Security Act to improve home health payment reforms under the Medicare program.,False,False,2019-05-08,Health,S001185,Terri Sewell,D,157,87,70,0
2021-02-26_00-40-25,hr,2574,116,PARSED,Equity and Inclusion Enforcement Act of 2019,"To amend title VI of the Civil Rights Act of 1964 to restore the right to individual civil actions in cases involving disparate impact, and for other purposes.",True,False,2019-05-08,"Civil Rights and Liberties, Minority Issues",S000185,Robert C. Scott,D,16,16,0,0
